iter	Passed	Remaining
0	126	126830
1	131	65403
2	135	44893
3	138	34495
4	141	28106
5	144	23908
6	146	20806
7	149	18489
8	151	16635
9	152	15128
10	154	13878
11	155	12819
12	157	11927
13	158	11155
14	159	10468
15	160	9872
16	161	9338
17	162	8857
18	163	8449
19	164	8058
20	165	7700
21	165	7373
22	166	7073
23	167	6797
24	167	6542
25	168	6303
26	168	6084
27	169	5878
28	169	5688
29	170	5509
30	170	5343
31	171	5186
32	171	5039
33	172	4902
34	173	4771
35	173	4648
36	174	4533
37	174	4423
38	175	4319
39	175	4218
40	176	4124
41	176	4035
42	177	3948
43	177	3865
44	178	3786
45	178	3710
46	179	3638
47	179	3568
48	180	3502
49	181	3440
50	181	3379
51	182	3320
52	182	3264
53	183	3209
54	183	3156
55	184	3105
56	184	3056
57	185	3009
58	185	2963
59	186	2919
60	186	2876
61	187	2834
62	187	2793
63	188	2754
64	188	2715
65	189	2679
66	189	2643
67	190	2609
68	190	2575
69	191	2542
70	191	2511
71	192	2480
72	192	2450
73	193	2420
74	193	2391
75	194	2363
76	194	2336
77	195	2310
78	196	2285
79	196	2260
80	197	2235
81	197	2211
82	197	2185
83	198	2162
84	198	2141
85	199	2119
86	199	2098
87	200	2077
88	201	2057
89	201	2038
90	202	2019
91	202	2000
92	203	1981
93	203	1963
94	204	1945
95	204	1928
96	205	1911
97	205	1894
98	206	1877
99	206	1861
100	207	1845
101	207	1829
102	208	1814
103	208	1799
104	209	1784
105	209	1770
106	210	1757
107	211	1744
108	211	1730
109	212	1717
110	212	1703
111	213	1690
112	213	1677
113	214	1665
114	214	1652
115	215	1640
116	215	1627
117	216	1615
118	216	1603
119	217	1592
120	217	1580
121	218	1569
122	218	1557
123	219	1547
124	219	1537
125	220	1528
126	220	1517
127	221	1507
128	222	1498
129	222	1489
130	223	1480
131	223	1470
132	224	1461
133	224	1452
134	225	1443
135	225	1434
136	226	1425
137	226	1417
138	227	1408
139	227	1399
140	228	1391
141	228	1382
142	229	1374
143	229	1367
144	230	1359
145	231	1351
146	231	1343
147	232	1335
148	232	1328
149	233	1320
150	233	1313
151	234	1306
152	234	1298
153	235	1291
154	235	1284
155	236	1277
156	236	1270
157	237	1263
158	237	1256
159	238	1250
160	238	1243
161	239	1237
162	239	1230
163	240	1224
164	240	1218
